Stadtquartier,QuarCD,BFSCode,PLZ,PLZ2,Kreis,Latitude,Longitude
Rathaus,,261011,8001,,1,47.376388888889000000,8.548055555555540800
Hochschulen,,261012,8001,,1,47.376388888889000000,8.548055555555541100
Lindenhof,,261013,8001,,1,47.364645000000000000,8.566284000000000000
City,,261014,8001,,1,47.364645000000000000,8.566284000000000000
Wollishofen,,261021,8038,,2,47.343944000000000000,8.530114425000000000
Leimbach,,261023,8041,,2,47.328632000000000000,8.512999476000000000
Enge,,261024,8002,,2,47.364078000000000000,8.531718409000000000
Alt-Wiedikon,,261031,8003,,3,47.368441000000000000,8.517243424000000000
Friesenberg,,261033,8045,8055,3,47.362441000000000000,8.504677475000000000
Sihlfeld,,261034,8003,,3,47.372576000000000000,8.517592415000000000
Werd,,261041,8004,,4,47.371225000000000000,8.528148410000000000
Langstrasse,,261042,8004,,4,47.376269000000000000,8.526671410000000000
Hard,,261044,8004,,4,47.379607000000000000,8.516012410000000000
Gewerbeschule,,261051,8005,,5,47.384676000000000000,8.531743405000000000
Escher Wyss,,261052,8005,,5,47.389670000000000000,8.517275403000000000
Unterstrass,,261061,8006,5057,6,47.391446000000000000,8.538774570000000000
Oberstrass,,261062,8006,,6,47.384337000000000000,8.548424487000000000
Fluntern,,261071,8044,,7,47.376313000000000000,8.559645000000000000
Hottingen,,261072,8032,,7,47.368120000000000000,8.560444400000000000
Hirslanden,,261073,8032,,7,47.364645000000000000,8.566284466000000000
Witikon,,261074,8053,,7,47.358651000000000000,8.590251604000000000
Seefeld,,261081,8008,,8,47.362748000000000000,8.548504412000000000
MŸhlebach,,261082,8008,,8,47.361522000000000000,8.554969417000000000
Weinegg,,261083,8008,,8,47.357989945804000000,8.564933652445450000
Albisrieden,,261091,8047,,9,47.375391000000000000,8.485338429000000000
Altstetten,,261092,8048,,9,47.387530000000000000,8.485842402000000000
Hšngg,,261101,8049,,10,47.401979000000000000,8.499374457000000000
Wipkingen,,261102,8037,,10,47.392670000000000000,8.523429431000000000
Affoltern,,261111,8046,,11,47.419094000000000000,8.506474460000000000
Oerlikon,,261115,8050,8057,11,47.410281000000000000,8.544459443000000000
Seebach,,261119,8052,,11,47.419424000000000000,8.547829420000000000
Saatlen,,261121,8050,,12,47.410191000000000000,8.564081431000000000
Schwamendingen Mitte,,261122,8051,,12,47.404200000000000000,8.581984340000000000
Hirzenbach,,261123,8051,,12,47.404628000000000000,8.587309428000000000