Plz,Ort,Longitude,Latitude
5000,Aarau,47.3833,8.05
5001,Aarau,47.3833,8.05
5004,Aarau,47.3833,8.05
4663,Aarburg,47.3167,7.9
5645,Aettenschwil,47.1833,8.36667
5628,Aristau,47.2833,8.36667
5105,Auenstein,47.4167,8.13333
5644,Auw,47.2167,8.36667
5400,Baden,47.4667,8.3
5401,Baden,47.4667,8.3
5402,Baden,47.4667,8.3
5403,Baden,47.4667,8.3
5404,Baden,47.4667,8.3
5405,Baden,47.4667,8.3
5406,Baden,47.4667,8.3
8965,Berikon,47.35,8.38333
5242,Birr,47.4333,8.2
5708,Birrwil,47.2833,8.2
5706,Boniswil,47.3167,8.18333
4814,Bottenwil,47.2833,8
5315,Böttstein,47.55,8.21667
5076,Bözen,47.4833,8.08333
4805,Brittnau,47.25,7.95
5632,Buttwil,47.2667,8.33333
5026,Densbüren,47.45,8.05
6042,Dietwil,47.15,8.4
5605,Dottikon,47.3833,8.23333
5312,Döttingen,47.5667,8.25
5724,Dürrenäsch,47.3333,8.15
5078,Effingen,47.4833,8.11667
5445,Eggenwil,47.3667,8.33333
5704,Egliswil,47.35,8.18333
5074,Eiken,47.5333,7.98333
5304,Endingen,47.5333,8.28333
5018,Erlinsbach,47.4,8
5275,Etzgen,47.5667,8.1
5615,Fahrwangen,47.3,8.23333
5070,Frick,47.5,8.01667
5412,Gebenstorf,47.4667,8.23333
5073,Gipf-Oberfrick,47.5,8
5728,Gontenschwil,47.2667,8.13333
5722,Gränichen,47.35,8.1
5245,Habsburg,47.4667,8.18333
5607,Hägglingen,47.3833,8.25
5705,Hallwil,47.3167,8.18333
5604,Hendschiken,47.3833,8.21667
5075,Hornussen,47.5,8.08333
5083,Ittenthal,47.5167,8.05
8916,Jonen,47.3,8.4
4303,Kaiseraugst,47.5333,7.71667
5082,Kaisten,47.5333,8.03333
8956,Killwangen,47.4333,8.35
5313,Klingnau,47.5833,8.25
5322,Koblenz,47.6167,8.23333
5742,Kölliken,47.3333,8.01667
5444,Künten,47.3833,8.31667
5024,Küttigen,47.4167,8.05
5080,Laufenburg,47.5667,8.05
5325,Leibstadt,47.5833,8.18333
5600,Lenzburg,47.3833,8.18333
5725,Leutwil,47.3167,8.16667
4312,Magden,47.5333,7.8
5616,Meisterschwanden,47.3,8.23333
5507,Mellingen,47.4167,8.26667
5737,Menziken,47.25,8.18333
5634,Merenschwand,47.25,8.36667
4313,Möhlin,47.55,7.85
5054,Moosleerau,47.2667,8.05
5037,Muhen,47.3333,8.05
5642,Mühlau,47.2333,8.38333
4322,Mumpf,47.55,7.91667
4853,Murgenthal,47.2667,7.81667
5432,Neuenhof,47.45,8.31667
5702,Niederlenz,47.4,8.18333
5443,Niederrohrdorf,47.4167,8.3
5036,Oberentfelden,47.35,8.03333
8917,Oberlunkhofen,47.3,8.38333
5647,Oberrüti,47.1667,8.38333
4665,Oftringen,47.3167,7.91667
5504,Othmarsingen,47.4,8.21667
4310,Rheinfelden,47.55,7.78333
4852,Rothrist,47.3,7.9
8964,Rudolfstetten,47.3667,8.38333
5102,Rupperswil,47.4167,8.13333
5745,Safenwil,47.3167,7.98333
5614,Sarmenstorf,47.3167,8.25
5503,Schafisheim,47.3833,8.13333
5116,Schinznach Bad,47.4333,8.16667
5107,Schinznach Dorf,47.45,8.13333
5044,Schlossrued,47.2833,8.08333
5040,Schöftland,47.3,8.05
5326,Schwaderloch,47.5833,8.13333
5707,Seengen,47.3333,8.21667
5703,Seon,47.35,8.15
5462,Siglistorf,47.55,8.36667
5643,Sins,47.2,8.38333
8957,Spreitenbach,47.4167,8.36667
5053,Staffelbach,47.2667,8.05
5603,Staufen,47.3833,8.16667
5233,Stilli,47.5167,8.2
4802,Strengelbach,47.2667,7.91667
5034,Suhr,47.3667,8.08333
5306,Tegerfelden,47.5667,8.28333
5300,Turgi,47.4833,8.25
4813,Uerkheim,47.3,8.01667
5424,Unterehrendingen,47.5,8.33333
5726,Unterkulm,47.3167,8.11667
8918,Unterlunkhofen,47.3167,8.38333
5417,Untersiggenthal,47.5,8.25
5234,Villigen,47.5167,8.21667
5612,Villmergen,47.35,8.25
5213,Villnachern,47.4667,8.16667
4803,Vordemwald,47.2667,7.88333
5622,Waltenschwil,47.3333,8.3
4317,Wegenstetten,47.5,7.93333
5430,Wettingen,47.4667,8.31667
5103,Wildegg,47.3833,8.16667
5210,Windisch,47.4667,8.23333
5064,Wittnau,47.4833,7.98333
5063,Wölflinswil,47.45,7.98333
5303,Würenlingen,47.5333,8.26667
5436,Würenlos,47.45,8.36667
5079,Zeihen,47.4667,8.08333
4800,Zofingen,47.2833,7.93333
5330,Zurzach,47.6,8.3
4315,Zuzgen,47.5333,7.9
9050,Appenzell,47.3333,9.4
9108,Gonten,47.3333,9.33333
9413,Oberegg,47.4167,9.55
9057,Weissbad,47.3167,9.43333
9055,Bühler,47.3833,9.41667
9056,Gais,47.3667,9.45
9410,Heiden,47.4333,9.53333
9100,Herisau,47.4,9.26667
9101,Herisau,47.4,9.26667
9102,Herisau,47.4,9.26667
9064,Hundwil,47.3667,9.31667
9038,Rehetobel,47.4167,9.48333
9105,Schönengrund,47.3167,9.23333
9103,Schwellbrunn,47.3667,9.25
9042,Speicher,47.4132,9.44277
9043,Trogen,47.4,9.46667
9107,Urnäsch,47.3167,9.28333
9104,Waldstatt,47.3667,9.28333
9428,Walzenhausen,47.45,9.6
9107,Zürchersmühle,47.3333,9.3
3270,Aarberg,47.05,7.28333
4912,Aarwangen,47.2333,7.75
1657,Abländschen,46.5667,7.3
3715,Adelboden,46.4833,7.56667
3536,Aeschau,46.9,7.76667
3183,Albligen,46.85,7.31667
3473,Alchenstorf,47.1167,7.63333
3633,Amsoldingen,46.7167,7.58333
3296,Arch,47.15,7.41667
4536,Attiswil,47.2333,7.6
3855,Axalp,46.7,8.03333
4913,Bannwil,47.2333,7.71667
3552,Bärau,46.9333,7.81667
3315,Bätterkinden,47.1167,7.53333
3803,Beatenberg,46.7,7.78333
2713,Bellelay,47.2667,7.16667
2564,Bellmund,47.1167,7.23333
3123,Belp,46.8833,7.5
3124,Belpberg,46.8667,7.51667
3000,Bern,46.9167,7.46667
3001,Bern,46.9167,7.46667
3003,Bern,46.9167,7.46667
3004,Bern,46.9167,7.46667
3005,Bern,46.9167,7.46667
3006,Bern,46.9167,7.46667
3007,Bern,46.9167,7.46667
3008,Bern,46.9167,7.46667
3010,Bern,46.9167,7.46667
3011,Bern,46.9167,7.46667
3012,Bern,46.9167,7.46667
3013,Bern,46.9167,7.46667
3014,Bern,46.9167,7.46667
3015,Bern,46.9167,7.46667
3018,Bern,46.9167,7.46667
3019,Bern,46.9167,7.46667
3020,Bern,46.9167,7.46667
3024,Bern,46.9167,7.46667
3027,Bern,46.9167,7.46667
3030,Bern,46.9167,7.46667
3040,Bern,46.9167,7.46667
2735,Bévilard,47.2333,7.28333
3513,Bigenthal,46.95,7.61667
3507,Biglen,46.9333,7.61667
3771,Blankenburg,46.5333,7.38333
3638,Blumenstein,46.7333,7.53333
3067,Boll,46.95,7.55
3065,Bolligen,46.9667,7.48333
3766,Boltigen,46.6333,7.38333
3533,Bowil,46.9,7.68333
3671,Brenzikofen,46.8167,7.61667
3856,Brienzwiler,46.75,8.1
3237,Brüttelen,47.0167,7.15
6197,Bumbach,46.8,7.9
3294,Büren an der Aare,47.1333,7.36667
3400,Burgdorf,47.05,7.61667
3401,Burgdorf,47.05,7.61667
3402,Burgdorf,47.05,7.61667
3664,Burgistein,46.7833,7.48333
4922,Bützberg,47.2167,7.75
2606,Corgémont,47.1833,7.13333
2738,Court,47.2333,7.33333
2608,Courtelary,47.1833,7.06667
2746,Crémines,47.2667,7.43333
3707,Därligen,46.6667,7.8
3763,Därstetten,46.65,7.48333
3754,Diemtigen,46.6333,7.56667
2517,Diesse,47.1167,7.11667
3465,Dürrenroth,47.0833,7.78333
3537,Eggiwil,46.8833,7.78333
3646,Einigen,46.7167,7.63333
3543,Emmenmatt,46.95,7.75
4952,Eriswil,47.0833,7.85
3619,Eriz,46.7833,7.76667
3235,Erlach,47.0333,7.1
3762,Erlenbach im Simmental,46.6667,7.55
3423,Ersigen,47.0833,7.58333
2533,Evilard,47.15,7.23333
3705,Faulensee,46.6667,7.71667
3784,Feutersoey,46.4167,7.26667
3312,Fraubrunnen,47.0833,7.51667
3202,Frauenkappelen,46.95,7.33333
3035,Frieswil,46.9833,7.26667
3714,Frutigen,46.5833,7.65
3863,Gadmen,46.7333,8.35
2076,Gals,47.0333,7.05
3236,Gampelen,47.0167,7.05
3115,Gerzensee,46.8167,7.55
3826,Gimmelwald,46.55,7.88333
4955,Gondiswil,47.1333,7.86667
3376,Graben,46.8,7.4
2745,Grandval,47.2833,7.41667
3757,Grimmialp,46.5667,7.48333
3818,Grindelwald,46.6167,8.05
3257,Grossaffoltern,47.0667,7.35
3780,Gstaad,46.4667,7.28333
3158,Guggisberg,46.7667,7.33333
3073,Gümligen,46.9667,7.5
3205,Gümmenen,46.9333,7.23333
3654,Gunten,46.7167,7.7
3864,Guttannen,46.6667,8.28333
3804,Habkern,46.7167,7.85
2575,Hagneck,47.0667,7.18333
3415,Hasle-Rüegsau,47.0167,7.63333
3625,Heiligenschwendi,46.75,7.68333
3627,Heimberg,46.8,7.6
3615,Heimenschwand,46.8167,7.7
3412,Heimiswil,47.05,7.65
3475,Hermiswil,46.8333,7.46667
3360,Herzogenbuchsee,47.1833,7.7
3652,Hilterfingen,46.7333,7.65
3324,Hindelbank,47.0333,7.53333
3032,Hinterkappelen,46.9667,7.38333
3702,Hondrich,46.6667,7.66667
3626,Hünibach,46.75,7.65
4950,Huttwil,47.1167,7.85
3862,Innertkirchen,46.7,8.21667
3232,Ins,47.0167,7.1
3800,Interlaken,46.6833,7.85
3807,Iseltwald,46.7,7.95
3822,Isenfluh,46.6167,7.88333
3303,Jegenstorf,47.05,7.5
3283,Kallnach,47.0167,7.23333
3716,Kandergrund,46.55,7.66667
3718,Kandersteg,46.4833,7.66667
3273,Kappelen,47.05,7.25
3122,Kehrsatz,46.9,7.46667
3309,Kernenried,47.0667,7.55
3723,Kiental,46.5667,7.75
3629,Kiesen,46.8167,7.56667
3038,Kirchlindach,47,7.41667
4936,Kleindietwil,47.1333,7.78333
3801,Kleine Scheidegg,46.5833,7.93333
3098,Köniz,46.9167,7.41667
3510,Konolfingen,46.8833,7.63333
3425,Koppigen,47.1333,7.6
3704,Krattigen,46.65,7.73333
3326,Krauchthal,47.0167,7.56667
3179,Kriechenwil,46.9,7.23333
2333,La Ferrière,47.1333,6.88333
2604,La Heutte,47.1833,7.21667
2520,La Neuveville,47.0667,7.1
2516,Lamboing,47.1167,7.15
4900,Langenthal,47.2167,7.78333
4901,Langenthal,47.2167,7.78333
4902,Langenthal,47.2167,7.78333
4903,Langenthal,47.2167,7.78333
3438,Lauperswil,46.95,7.73333
3822,Lauterbrunnen,46.6,7.9
3706,Leissigen,46.65,7.76667
3297,Leuzigen,47.1667,7.45
3097,Liebefeld,46.9333,7.43333
2514,Ligerz,47.0833,7.15
3673,Linden,46.85,7.68333
4932,Lotzwil,47.1833,7.78333
3816,Lütschental,46.6333,7.93333
3250,Lyss,47.0667,7.3
3421,Lyssach,47.0667,7.58333
4934,Madiswil,47.1667,7.78333
2735,Malleray,47.2333,7.26667
2554,Meinisberg,47.1667,7.35
3860,Meiringen,46.7333,8.18333
4917,Melchnau,47.1833,7.83333
3658,Merligen,46.7,7.73333
2572,Mörigen,47.0833,7.21667
2740,Moutier,47.2833,7.36667
3203,Mühleberg,46.95,7.25
3127,Mühlethurnen,46.8167,7.5
3053,Münchenbuchsee,47.0167,7.45
3110,Münsingen,46.8833,7.56667
3825,Mürren,46.5667,7.88333
3863,Nessental,46.7167,8.3
3176,Neuenegg,46.8833,7.3
2560,Nidau,47.1167,7.23333
4704,Niederbipp,47.2667,7.68333
3145,Niederscherli,46.8833,7.38333
3114,Niederwichtrach,46.85,7.58333
3712,Niesen Kulm,46.6333,7.65
2518,Nods,47.1167,7.08333
3096,Oberbalm,46.8667,7.4
4538,Oberbipp,47.25,7.66667
3414,Oberburg,47.0333,7.61667
3672,Oberdiessbach,46.8333,7.95
3363,Oberönz,47.1667,7.7
3632,Oberstocken,46.7167,7.55
3367,Ochlenberg,47.15,7.73333
3753,Oey,46.6667,7.58333
2552,Orpund,47.1333,7.3
2534,Orvin,47.1667,7.2
3072,Ostermundigen,46.95,7.48333
2742,Perrefitte,47.2833,7.35
2603,Péry,47.2,7.25
2542,Pieterlen,47.1833,7.33333
2515,PrÃªles,47.2,7.25
3439,Ranflüh,46.9833,7.75
2732,Reconvilier,47.2333,7.21667
3647,Reutigen,46.7,7.61667
3078,Richigen,46.9,7.58333
3159,Riedstätt,46.7833,7.31667
3156,Riffenmatt,46.7667,7.35
3132,Riggisberg,46.8,7.46667
4938,Rohrbach,47.1333,7.8
3204,Rosshäusern,46.9167,7.26667
3113,Rubigen,46.9,7.53333
3437,Rüderswil,46.9833,7.73333
3088,Rüeggisberg,46.8167,7.43333
3792,Saanen,46.4833,7.25
3777,Saanenmöser,46.5167,7.3
2732,Saicourt,47.25,7.2
1738,Sangernboden,46.7167,7.35
3044,Säriswil,46.9833,7.33333
3813,Saxeten,46.6333,7.83333
6197,Schangnau,46.8333,7.85
2827,Schelten,47.3333,7.55
3322,Schönbühl,47.0167,7.5
3778,Schönried,46.5,7.28333
3535,Schüpbach,46.9333,7.73333
3054,Schüpfen,47.0333,7.38333
3150,Schwarzenburg,46.8333,7.33333
3616,Schwarzenegg,46.8,7.71667
3365,Seeberg,47.15,7.66667
3662,Seftigen,46.7833,7.53333
3534,Signau,46.9167,7.71667
3655,Sigriswil,46.7167,7.7
2615,Sonvilier,47.1333,6.95
2716,Sornetan,47.2667,7.21667
3700,Spiez,46.6833,7.68333
3824,Stechelberg,46.55,7.9
3612,Steffisburg,46.7833,7.63333
3613,Steffisburg,46.7833,7.63333
3066,Stettlen,46.95,7.53333
3262,Suberg,47.05,7.33333
3454,Sumiswald,47.0333,7.73333
3800,Sundlauenen,46.6833,7.78333
2575,Täuffelen,47.0667,7.2
2710,Tavannes,47.2167,7.2
3634,Thierachern,46.75,7.56667
3174,Thörishaus,46.9,7.35
3600,Thun,46.75,7.61667
3601,Thun,46.75,7.61667
3602,Thun,46.75,7.61667
3603,Thun,46.75,7.61667
3604,Thun,46.75,7.61667
3605,Thun,46.75,7.61667
3606,Thun,46.75,7.61667
3607,Thun,46.75,7.61667
3608,Thun,46.75,7.61667
4922,Thunstetten,47.2,7.58333
3125,Toffen,46.8667,7.48333
3456,Trachselwald,47.0167,7.73333
2720,Tramelan,47.2333,7.1
3083,Trimstein,46.9,7.56667
3556,Trub,46.95,7.88333
3555,Trubschachen,46.9167,7.83333
2513,Twann,47.1,7.15
3661,Uetendorf,46.7667,7.56667
3043,Uettligen,46.9833,7.38333
3800,Unterseen,46.6833,7.85
4937,Ursenbach,47.1333,7.76667
3322,Urtenen,47.0333,7.48333
3628,Uttigen,46.7833,7.56667
3427,Utzenstorf,47.1333,7.55
2537,Vauffelin,47.1833,7.28333
2613,Villeret,47.1667,7.03333
3084,Wabern,46.9333,7.48333
3512,Walkringen,46.95,7.61667
3380,Wangen an der Aare,47.2333,7.65
3665,Wattenwil,46.7667,7.51667
3766,Weissenbach,46.6167,7.38333
3764,Weissenburg,46.65,7.46667
3823,Wengen,46.6,7.91667
3114,Wichtrach,46.85,7.58333
4537,Wiedlisbach,47.25,7.65
3812,Wilderswil,46.6667,7.85
3207,Wileroltigen,46.9667,7.23333
3752,Wimmis,46.6833,7.63333
3076,Worb,46.9333,7.56667
3252,Worben,47.1,7.28333
3048,Worblaufen,46.9667,7.46667
4923,Wynau,47.2667,7.8
3472,Wynigen,47.1,7.66667
4954,Wyssachen,47.0833,7.81667
3532,Zäziwil,46.9,7.65
3086,Zimmerwald,46.8667,7.46667
3436,Zollbrück,46.9667,7.75
3052,Zollikofen,46.9833,7.46667
3815,Zweilütschinen,46.6333,7.9
3770,Zweisimmen,46.55,7.36667
4123,Allschwil,47.55,7.53333
4422,Arisdorf,47.5167,7.76667
4144,Arlesheim,47.4833,7.61667
4000,Basel,47.5667,7.6
4001,Basel,47.5667,7.6
4002,Basel,47.5667,7.6
4003,Basel,47.5667,7.6
4004,Basel,47.5667,7.6
4005,Basel,47.5667,7.6
4006,Basel,47.5667,7.6
4007,Basel,47.5667,7.6
4008,Basel,47.5667,7.6
4009,Basel,47.5667,7.6
4010,Basel,47.5667,7.6
4011,Basel,47.5667,7.6
4012,Basel,47.5667,7.6
4013,Basel,47.5667,7.6
4015,Basel,47.5667,7.6
4016,Basel,47.5667,7.6
4017,Basel,47.5667,7.6
4018,Basel,47.5667,7.6
4019,Basel,47.5667,7.6
4020,Basel,47.5667,7.6
4023,Basel,47.5667,7.6
4024,Basel,47.5667,7.6
4025,Basel,47.5667,7.6
4027,Basel,47.5667,7.6
4028,Basel,47.5667,7.6
4030,Basel,47.5667,7.6
4031,Basel,47.5667,7.6
4032,Basel,47.5667,7.6
4039,Basel,47.5667,7.6
4040,Basel,47.5667,7.6
4051,Basel,47.5667,7.6
4052,Basel,47.5667,7.6
4053,Basel,47.5667,7.6
4054,Basel,47.5667,7.6
4055,Basel,47.5667,7.6
4056,Basel,47.5667,7.6
4057,Basel,47.5667,7.6
4058,Basel,47.5667,7.6
4059,Basel,47.5667,7.6
4070,Basel,47.5667,7.6
4080,Basel,47.5667,7.6
4091,Basel,47.5667,7.6
4102,Binningen,47.5333,7.56667
4127,Birsfelden,47.55,7.61667
4223,Blauen,47.45,7.51667
4103,Bottmingen,47.5167,7.56667
4207,Bretzwil,47.4,7.65
4225,Brislach,47.4167,7.53333
4416,Bubendorf,47.45,7.73333
4463,Buus,47.5167,7.86667
4457,Diegten,47.4167,7.8
4458,Eptingen,47.3833,7.81667
4107,Ettingen,47.4833,7.55
4402,Frenkendorf,47.5,7.71667
4414,Füllinsdorf,47.5,7.75
4460,Gelterkinden,47.4667,7.85
4203,Grellingen,47.4333,7.58333
4465,Hemmiken,47.4667,7.86667
4434,Hölstein,47.4167,7.76667
4438,Langenbruck,47.35,7.75
4448,Läufelfingen,47.4,7.85
4242,Laufen,47.4167,7.5
4415,Lausen,47.4667,7.75
4253,Liesberg,47.4,7.43333
4410,Liestal,47.4667,7.73333
4464,Maisprach,47.5167,7.83333
4142,Münchenstein,47.5167,7.61667
4132,Muttenz,47.5167,7.65
4466,Ormalingen,47.4667,7.86667
4148,Pfeffingen,47.45,7.58333
4133,Pratteln,47.5167,7.68333
4418,Reigoldswil,47.4,7.68333
4244,Röschenz,47.4333,7.45
4497,Rünenberg,47.4333,7.88333
4124,Schönenbuch,47.5333,7.48333
4411,Seltisberg,47.45,7.71667
4450,Sissach,47.4667,7.8
4492,Tecknau,47.45,7.88333
4106,Therwil,47.5,7.55
4425,Titterten,47.4,7.71667
4437,Waldenburg,47.3833,7.75
4495,Zeglingen,47.4167,7.9
4455,Zunzgen,47.4333,7.8
4222,Zwingen,47.4333,7.51667
4126,Bettingen,47.6,7.65
1669,Albeuve,46.5167,7.06667
1732,Arconciel,46.75,7.11667
1616,Attalens,46.5167,6.85
1484,Aumont,46.8,6.85
1742,Autigny,46.7333,7.01667
1754,Avry-sur-Matran,46.7833,7.06667
1783,BarberÃªche,46.8667,7.16667
1782,Belfaux,46.8167,7.1
3178,Bösingen,46.9,7.21667
1636,Broc,46.6167,7.1
1630,Bulle,46.6167,7.06667
1631,Bulle,46.6167,7.06667
1553,ChÃ¢tonnaye,46.75,6.93333
1529,Cheiry,46.75,6.83333
1468,Cheyres,46.8167,6.78333
1792,Cordast,46.8667,7.15
1720,Corminboeuf,46.8,7.1
1796,Courgevaux,46.9,7.1
1795,Courlevon,46.8833,7.1
1784,Courtepin,46.85,7.2
1721,Courtion,46.8667,7.06667
1564,Domdidier,46.8667,7.01667
3186,Düdingen,46.85,7.2
1646,Echarlens,46.65,7.06667
1730,Ecuvillens,46.75,7.08333
1667,Enney,46.5667,7.08333
1665,Estavannens,46.5667,7.1
1470,Estavayer-le-Lac,46.85,6.85
1726,Farvagny-le-Petit,46.7333,7.08333
3175,Flamatt,46.8833,7.3
3284,Fräschels,46.9833,7.21667
1700,Fribourg,46.8,7.15
1701,Fribourg,46.8,7.15
1702,Fribourg,46.8,7.15
1703,Fribourg,46.8,7.15
1704,Fribourg,46.8,7.15
1705,Fribourg,46.8,7.15
1706,Fribourg,46.8,7.15
1707,Fribourg,46.8,7.15
1708,Fribourg,46.8,7.15
1709,Fribourg,46.8,7.15
3285,Galmiz,46.95,7.15
1735,Giffers,46.7667,7.21667
1775,Grandsivaz,46.7833,6.98333
1666,Grandvillard,46.55,7.1
1772,Grolley,46.8333,7.08333
1663,Gruyères,46.5833,7.08333
1648,Hauteville,46.6667,7.11667
1714,Heitenried,46.8333,7.3
1656,Im Fang,46.6,7.25
1656,Jaun,46.6,7.28333
1793,Jeuss,46.9,7.16667
3210,Kerzers,46.9667,7.2
1635,La Tour-de-TrÃªme,46.6167,7.06667
1645,Le Bry,46.7,7.08333
1611,Le CrÃªt-près-Semsales,46.6,6.93333
1773,Léchelles,46.8333,7.01667
1669,Lessoc,46.5,7.06667
3213,Liebistorf,46.9167,7.2
3215,Lurtigen,46.9167,7.16667
1775,Mannens,46.8,6.96667
1633,Marsens,46.65,7.06667
1776,Montagny-la-Ville,46.8167,6.98333
1669,Montbovon,46.4833,7.05
3280,Murten,46.9333,7.11667
1757,Noréaz,46.8,7.01667
1716,Oberschrot,46.7333,7.26667
1716,Plaffeien,46.75,7.28333
1737,Plasselb,46.7333,7.25
1772,Ponthaux,46.8167,7.03333
1699,Porsel,46.6,6.86667
1568,Portalban,46.9167,6.95
1718,Rechthalten,46.7667,7.25
1632,Riaz,46.6333,7.06667
1673,Rue,46.6167,6.81667
1626,Rueyres-Treyfayes,46.65,6.95
1716,Schwarzsee,46.6667,7.28333
1623,Semsales,46.5833,6.93333
1678,Siviriez,46.6667,6.86667
1642,Sorens,46.6833,7.05
1786,Sugiez,46.9667,7.1
1712,Tafers,46.8,7.21667
1626,Treyfayes,46.6667,6.95
1733,Treyvaux,46.7333,7.13333
3182,Ueberstorf,46.8667,7.3
1675,Vauderens,46.6167,6.85
1627,Vaulruz,46.6167,7
1695,Villarsel-le-Gibloux,46.7167,7.01667
1694,Villarsiviriaux,46.7,7.01667
1752,Villars-sur-GlÃ¢ne,46.8,7.11667
1651,Villarvolard,46.65,7.1
1628,Vuadens,46.6167,7.03333
3206,Wallenbuch,46.9167,7.21667
1784,Wallenried,46.8667,7.11667
3184,Wünnewil,46.8833,7.26667
1719,Zumholz,46.75,7.3
1219,AÃ¯re,46.2,6.13333
1247,Anières,46.2833,6.21667
1293,Bellevue,46.2667,6.15
1233,Bernex,46.1833,6.08333
1236,Cartigny,46.1833,6.01667
1298,Céligny,46.35,6.2
1292,Chambésy,46.25,6.13333
1284,Chancy,46.15,5.96667
1219,ChÃ¢telaine,46.2,6.11667
1224,ChÃªne-Bougeries,46.2,6.16667
1225,ChÃªne-Bourg,46.2,6.2
1216,Cointrin,46.2167,6.11667
1245,Collonge-Bellerive,46.25,6.18333
1223,Cologny,46.2167,6.2
1232,Confignon,46.1833,6.08333
1283,Dardagny,46.2,6
1200,Genève,46.2,6.16667
1201,Genève,46.2,6.16667
1202,Genève,46.2,6.16667
1203,Genève,46.2,6.16667
1204,Genève,46.2,6.16667
1205,Genève,46.2,6.16667
1206,Genève,46.2,6.16667
1207,Genève,46.2,6.16667
1208,Genève,46.2,6.16667
1209,Genève,46.2,6.16667
1248,Hermance,46.3,6.23333
1254,Jussy,46.25,6.28333
1283,La Plaine,46.1833,6
1227,La Praille,46.1833,6.11667
1218,Le Grand-Saconnex,46.2333,6.13333
1227,Les Acacias,46.1833,6.13333
1252,Meinier,46.2333,6.23333
1217,Meyrin,46.2167,6.06667
1213,Onex,46.1833,6.1
1228,Plan-les-Ouates,46.1667,6.11667
1243,Presinge,46.2333,6.25
1241,Puplinge,46.2,6.23333
1281,Russin,46.1833,6.01667
1242,Satigny,46.2167,6.03333
1286,Soral,46.1333,6.05
1226,Thônex,46.1833,6.16667
1214,Vernier,46.2167,6.08333
1290,Versoix,46.2667,6.16667
1222,Vésenaz,46.2333,6.2
1255,Veyrier,46.1833,6.2
8777,Betschwanden,46.95,9.01667
8865,Bilten,47.15,9.01667
8784,Braunwald,46.9333,8.98333
8767,Elm,46.9167,9.16667
8765,Engi,46.9833,9.15
8755,Ennenda,47.0333,9.08333
8757,Filzbach,47.1167,9.11667
8750,Glarus,47.0333,9.06667
8775,Hätzingen,46.95,9.03333
8750,Klöntal,47.0333,8.96667
8774,Leuggelbach,46.9667,9.05
8783,Linthal,46.9167,9
8775,Luchsingen,46.9667,9.03333
8766,Matt,46.9667,9.16667
8753,Mollis,47.0833,9.08333
8874,Mühlehorn,47.1167,9.16667
8752,Näfels,47.1,9.06667
8754,Netstal,47.05,9.05
8759,Netstal,47.05,9.05
8772,Nidfurn,46.9833,9.05
8867,Niederurnen,47.1167,9.05
8758,Obstalden,47.1167,9.15
8750,Riedern,46.95,7.36667
8762,Sool,46.9833,9.08333
8866,Ziegelbrücke,47.1167,9.05
7710,Alp Grüm,46.3833,10.0333
7492,Alvaneu Dorf,46.6833,9.63333
7451,Alvaschein,46.6833,9.55
7440,Andeer,46.6,9.43333
7546,Ardez,46.7833,10.2
7050,Arosa,46.7833,9.66667
6543,Arvigo,46.3,9.11667
7245,Ascharina,46.95,9.8
6547,Augio,46.3667,9.11667
7444,Ausserferrera,46.55,9.43333
7457,Bivio,46.4667,9.65
7402,Bonaduz,46.8167,9.4
7604,Borgonovo,46.35,9.6
7527,Brail,46.65,10.0333
7743,Brusio,46.2667,10.1167
6542,Buseno,46.2667,9.11667
6558,Cabbiolo,46.3333,9.2
